accession_8k,ticker,filed_8k,period_of_report,fye_month,fy_xbrl,q_xbrl,fy_math,q_math,agreement,matched_accession_periodic,periodic_created,form_type_periodic,reason
0001531152-26-000003,BJ,2026-03-05T06:56:32-05:00,2026-01-31,1,2025,Q4,2026,Q4,false,0001531152-26-000007,2026-03-12T16:15:55-04:00,10-K,xbrl_math_disagree
0001390777-26-000042,BK,2026-04-16T06:30:21-04:00,,12,,,,,,,,,not_same_event_periodic
0001193125-26-153768,BLK,2026-04-14T06:35:09-04:00,,12,,,,,,,,,not_same_event_periodic
0000950170-23-017832,BMBL,2023-05-04T16:05:46-04:00,2023-03-31,12,2023,Q3,2023,Q1,false,0000950170-23-018310,2023-05-05T16:08:05-04:00,10-Q,proximity_rejected
0000950170-24-065181,BOX,2024-05-28T16:05:12-04:00,2024-04-30,1,2024,Q1,2025,Q1,false,0000950170-24-066563,2024-05-30T16:05:30-04:00,10-Q,xbrl_math_disagree
0000950170-24-100997,BOX,2024-08-27T16:05:11-04:00,2024-07-31,1,2024,Q2,2025,Q2,false,0000950170-24-102328,2024-08-30T16:05:30-04:00,10-Q,xbrl_math_disagree
0000950170-24-132766,BOX,2024-12-03T16:14:27-05:00,2024-10-31,1,2024,Q3,2025,Q3,false,0000950170-24-133239,2024-12-04T16:05:37-05:00,10-Q,xbrl_math_disagree
0000950170-25-077683,BOX,2025-05-27T16:05:15-04:00,2025-04-30,1,2025,Q1,2026,Q1,false,0000950170-25-078934,2025-05-29T16:05:34-04:00,10-Q,xbrl_math_disagree
0000950170-25-111447,BOX,2025-08-26T16:05:31-04:00,2025-07-31,1,2025,Q2,2026,Q2,false,0000950170-25-111701,2025-08-27T16:05:59-04:00,10-Q,xbrl_math_disagree
0001193125-25-305247,BOX,2025-12-02T16:05:28-05:00,2025-10-31,1,2025,Q3,2026,Q3,false,0001193125-25-306665,2025-12-03T16:07:08-05:00,10-Q,xbrl_math_disagree
0001383312-23-000059,BR,2023-12-07T08:00:42-05:00,,6,,,,,,,,,not_same_event_periodic
0001581068-23-000040,BRX,2023-05-01T16:37:45-04:00,,12,,,,,,,,,not_same_event_periodic
0001581068-23-000060,BRX,2023-10-30T16:12:59-04:00,,12,,,,,,,,,not_same_event_periodic
0001581068-24-000033,BRX,2024-07-29T16:09:10-04:00,,12,,,,,,,,,not_same_event_periodic
0001581068-24-000044,BRX,2024-10-28T16:09:43-04:00,,12,,,,,,,,,not_same_event_periodic
0001581068-25-000010,BRX,2025-02-10T16:07:01-05:00,,12,,,,,,,,,not_same_event_periodic
0001581068-25-000031,BRX,2025-07-28T16:11:52-04:00,,12,,,,,,,,,not_same_event_periodic
0000885725-26-000031,BSX,2026-04-22T06:34:16-04:00,,12,,,,,,,,,not_same_event_periodic
0000950170-23-005691,BURL,2023-03-02T06:48:47-05:00,2023-01-28,1,2022,Q4,2023,Q4,false,0000950170-23-007586,2023-03-13T16:26:12-04:00,10-K,xbrl_math_disagree
0000950170-23-024055,BURL,2023-05-25T06:46:08-04:00,2023-04-29,1,2023,Q1,2024,Q1,false,0000950170-23-024237,2023-05-25T16:16:35-04:00,10-Q,xbrl_math_disagree
0000950170-23-044234,BURL,2023-08-24T06:48:28-04:00,2023-07-29,1,2023,Q2,2024,Q2,false,0000950170-23-044380,2023-08-24T16:16:15-04:00,10-Q,xbrl_math_disagree
0000950170-23-065301,BURL,2023-11-21T06:48:44-05:00,2023-10-28,1,2023,Q3,2024,Q3,false,0000950170-23-065505,2023-11-21T16:18:06-05:00,10-Q,xbrl_math_disagree
0000950170-24-027578,BURL,2024-03-07T06:48:22-05:00,2024-02-03,1,2023,Q4,2024,Q4,false,0000950170-24-032207,2024-03-15T16:16:38-04:00,10-K,xbrl_math_disagree
0000950170-24-066241,BURL,2024-05-30T06:46:57-04:00,2024-05-04,1,2024,Q1,2025,Q1,false,0000950170-24-066612,2024-05-30T16:15:41-04:00,10-Q,xbrl_math_disagree
0000950170-24-101578,BURL,2024-08-29T06:52:24-04:00,2024-08-03,1,2024,Q2,2025,Q2,false,0000950170-24-101847,2024-08-29T16:04:42-04:00,10-Q,xbrl_math_disagree
0000950170-24-130752,BURL,2024-11-26T06:52:23-05:00,2024-11-02,1,2024,Q3,2025,Q3,false,0000950170-24-131050,2024-11-26T16:18:39-05:00,10-Q,xbrl_math_disagree
0000950170-25-034167,BURL,2025-03-06T06:50:27-05:00,2025-02-01,1,2024,Q4,2025,Q4,false,0000950170-25-040472,2025-03-17T17:16:35-04:00,10-K,xbrl_math_disagree
0000950170-25-078585,BURL,2025-05-29T06:47:49-04:00,2025-05-03,1,2025,Q1,2026,Q1,false,0000950170-25-079172,2025-05-29T17:37:01-04:00,10-Q,xbrl_math_disagree
0001579298-25-000007,BURL,2025-08-28T06:50:04-04:00,2025-08-02,1,2025,Q2,2026,Q2,false,0001579298-25-000010,2025-08-28T16:19:52-04:00,10-Q,xbrl_math_disagree
0001193125-25-294501,BURL,2025-11-25T06:49:07-05:00,2025-11-01,1,2025,Q3,2026,Q3,false,0001193125-25-297249,2025-11-25T16:17:15-05:00,10-Q,xbrl_math_disagree
0001193125-26-092488,BURL,2026-03-05T06:50:28-05:00,2026-01-31,1,2025,Q4,2026,Q4,false,0001193125-26-116001,2026-03-19T16:16:39-04:00,10-K,xbrl_math_disagree
0001193125-24-180721,BX,2024-07-18T06:55:34-04:00,2024-06-30,12,2024,Q1,2024,Q2,false,0001193125-24-192846,2024-08-02T16:03:10-04:00,10-Q,xbrl_math_disagree
0001193125-26-171788,BX,2026-04-23T06:55:29-04:00,,12,,,,,,,,,not_same_event_periodic
0001157523-23-000087,CACI,2023-01-25T16:30:52-05:00,2022-12-31,6,2022,Q2,2023,Q2,false,0001564590-23-000810,2023-01-26T12:41:21-05:00,10-Q,xbrl_math_disagree
